Date,Close,Open,High,Low,Volume,Change_pct
25.4.2023,111,110.5,112.25,110.1,171650,0.63%
24.4.2023,110.3,111.4,111.75,109.6,143670,-0.45%
21.4.2023,110.8,109,111.9,108.45,216510,1.05%
20.4.2023,109.65,109.65,110.6,108.5,220150,0.41%
19.4.2023,109.2,109.38,110,107.84,232670,-0.46%
18.4.2023,109.7,111.76,111.94,109.52,345370,-1.12%
17.4.2023,110.94,111.8,113.2,110.14,330670,0.18%
14.4.2023,110.74,110.9,112.82,110.4,281610,0.67%
13.4.2023,110,108.84,110.18,108.5,285620,1.07%
12.4.2023,108.84,105.6,110.28,105.3,400400,3.03%
11.4.2023,105.64,107.3,107.88,103.92,444060,-0.53%
6.4.2023,106.2,107.8,108.66,106,246750,-1.52%
5.4.2023,107.84,109.1,109.1,107,202350,-0.55%
4.4.2023,108.44,109.6,110.1,107.94,292130,0.35%
3.4.2023,108.06,110.94,111,106.44,603620,-2.84%
31.3.2023,111.22,120,124.4,111.22,1580000,-1.82%
30.3.2023,113.28,110.22,114.7,109.74,751780,2.81%
29.3.2023,110.18,110,110.84,105.52,470410,1.08%
28.3.2023,109,114.76,114.78,108.9,593250,-4.44%
27.3.2023,114.06,111.5,114.36,110.52,355490,3.13%
24.3.2023,110.6,110,113.2,109.52,635850,0.55%
23.3.2023,110,112.22,113.2,109.22,885630,-2.46%
22.3.2023,112.78,115.44,116.4,112.32,793650,-3.16%
21.3.2023,116.46,125.5,127.7,114.9,1280000,-10.91%
20.3.2023,130.72,130,132.28,128.82,192230,-0.21%
17.3.2023,131,135.2,136.3,130.28,530350,-3.25%
16.3.2023,135.4,131.5,135.4,130,365860,4.67%
15.3.2023,129.36,130,132.56,128.82,257200,-0.49%
14.3.2023,130,127.04,132.4,127,412440,2.30%
13.3.2023,127.08,128.72,130.04,120.8,412410,-1.26%
10.3.2023,128.7,130.9,131.2,127.62,187720,-2.63%
9.3.2023,132.18,132,133.78,131.46,134130,-0.06%
8.3.2023,132.26,134.68,134.68,131.46,174680,-0.90%
7.3.2023,133.46,132.5,134.8,131.4,169150,0.95%
6.3.2023,132.2,132,132.5,130.2,177400,1.18%
3.3.2023,130.66,132,133.54,129.7,235160,-0.11%
2.3.2023,130.8,132,132.3,129.42,201940,-1.10%
1.3.2023,132.26,133.86,135.6,131.9,203940,-0.11%
28.2.2023,132.4,132.12,133.84,130.7,207580,0.21%
27.2.2023,132.12,130,133.04,129.38,133390,2.01%
24.2.2023,129.52,134.14,134.14,129.46,170550,-3.70%
23.2.2023,134.5,132.06,135.86,132.06,180540,1.94%
22.2.2023,131.94,131.2,132.56,129.16,187690,0.55%
21.2.2023,131.22,136,136,131.22,352520,-3.76%
20.2.2023,136.34,136.24,137.74,135.1,91630,0.38%
17.2.2023,135.82,139,139.34,135.82,201950,-2.65%
16.2.2023,139.52,139.16,140.64,136.8,145150,0.81%
15.2.2023,138.4,133.7,138.5,133.3,126870,3.10%
